时间,商品名称,库存变化,单笔销量
2026-09-14 22:06:32,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 499999,1
2026-09-14 22:50:31,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499999 -> 499991,8
2026-09-15 14:04:19,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499991 -> 499992,-1
2026-09-16 07:27:24,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 499992,0
2026-09-16 08:49:04,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499992 -> 499988,4
2026-09-16 14:21:21,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499988 -> 499986,2
2026-09-16 18:46:13,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499986 -> 499984,2
2026-09-16 18:49:53,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499984 -> 499976,8
2026-09-16 21:03:58,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499976 -> 499963,13
2026-09-16 21:42:53,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499963 -> 499908,55
2026-09-16 21:45:44,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499908 -> 499893,15
2026-09-16 22:36:16,[09.20 1:1 부적 만들기]어센트(ASC2NT) 2nd Mini Album [Still with you],499893 -> 499879,14
