时间,商品名称,库存变化,单笔销量
2026-09-14 22:05:07,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 5000,0
2026-09-15 23:50:19,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],5000 -> 4985,15
2026-09-16 07:27:37,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],初始库存: 4985,0
2026-09-16 10:46:44,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4985 -> 4980,5
2026-09-16 12:14:35,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4980 -> 4967,13
2026-09-16 13:10:01,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4967 -> 4965,2
2026-09-16 13:58:10,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4965 -> 4970,-5
2026-09-16 17:50:41,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4970 -> 4969,1
2026-09-16 22:44:38,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4969 -> 4967,2
2026-09-16 22:59:51,[09.20 1:1 부채꾸미기]어센트(ASC2NT) 2nd Mini Album [Still with you],4967 -> 4963,4
